cdacordao,tipo,PC1,PC2,PC3,PC4,PC5,PC6
1862620,f(ementa),-0.206888,-0.196496,0.027741,-0.063153,0.123855,0.077086
1862622,f(ementa),-0.151419,-0.406851,-0.050725,0.118735,0.120021,0.124493
1862630,f(ementa),-0.202009,-0.307045,0.096303,0.035211,0.164719,0.162451
1862635,f(ementa),-0.227211,0.090583,0.070352,-0.137106,0.042908,0.195292
1862636,f(ementa),-0.206007,-0.186002,0.032925,-0.023469,0.157226,0.113648
1862637,f(ementa),-0.175691,-0.345512,0.046265,-0.001662,0.151656,0.083008
1862638,f(ementa),-0.202165,-0.087792,0.007470,-0.157328,-0.058160,0.007478
1862649,f(ementa),-0.110385,-0.347736,-0.008610,0.047129,0.147532,0.099004
1862657,f(ementa),-0.116987,0.010871,0.036571,-0.251096,-0.045196,0.007956
1862660,f(ementa),-0.215331,0.048614,-0.141117,-0.308828,-0.060667,0.134761
1862665,f(ementa),-0.199645,-0.302758,0.093334,0.032708,0.180006,0.177955
1862667,f(ementa),-0.172255,-0.177715,0.050985,-0.034289,0.196206,0.096182
1862668,f(ementa),-0.146591,-0.288295,-0.009499,-0.008015,0.147434,0.190636
1862669,f(ementa),-0.171362,-0.267161,0.049866,0.063660,0.133788,0.139386
1862676,f(ementa),-0.031730,0.003720,0.093066,-0.202743,-0.044658,-0.116643
1862680,f(ementa),-0.206007,-0.186002,0.032925,-0.023469,0.157226,0.113648
1862681,f(ementa),-0.165435,-0.373636,-0.026379,0.129899,0.113656,0.124646
1862683,f(ementa),-0.199484,0.043332,-0.088674,-0.108074,-0.006154,-0.004263
1862684,f(ementa),-0.224918,0.071404,-0.088750,-0.249170,-0.022870,0.116427
1862689,f(ementa),-0.171889,-0.323752,0.052618,0.054143,0.151066,0.150041
1862692,f(ementa),-0.019752,-0.263879,0.346773,-0.208961,0.001828,-0.227138
1862693,f(ementa),-0.019752,-0.263879,0.346773,-0.208961,0.001828,-0.227138
1862694,f(ementa),-0.019752,-0.263879,0.346773,-0.208961,0.001828,-0.227138
1862695,f(ementa),-0.019752,-0.263879,0.346773,-0.208961,0.001828,-0.227138
1862697,f(ementa),-0.019752,-0.263879,0.346773,-0.208961,0.001828,-0.227138
1862698,f(ementa),-0.019752,-0.263879,0.346773,-0.208961,0.001828,-0.227138
1862700,f(ementa),-0.181848,0.015320,-0.030543,-0.203274,-0.010116,0.101362
1862701,f(ementa),-0.220838,-0.075658,-0.047241,-0.189244,0.013753,0.103855
1862703,f(ementa),-0.169883,-0.360102,0.058539,-0.013071,0.021436,-0.062847
1862711,f(ementa),-0.138577,-0.354786,0.033773,0.135504,0.159454,0.124617
1862712,f(ementa),-0.019752,-0.263879,0.346773,-0.208961,0.001828,-0.227138
1862713,f(ementa),-0.132724,0.044498,-0.056012,-0.313943,-0.034915,0.036461
1862717,f(ementa),-0.135758,-0.304399,0.067126,-0.044073,-0.015907,-0.082681
1861238,f(ementa),-0.195080,0.078098,-0.148531,-0.169531,-0.007365,0.072280
1861243,f(ementa),-0.051269,0.037946,0.106600,-0.159628,0.021246,-0.132428
1861248,f(ementa),-0.205465,0.021652,0.065635,-0.219947,0.042766,0.093443
1861281,f(ementa),-0.253189,0.082513,0.038892,-0.169288,0.089815,0.096762
1861288,f(ementa),-0.159061,0.068745,0.012837,-0.201608,0.021701,0.208897
1861306,f(ementa),-0.199131,-0.022502,-0.042014,-0.217060,0.076747,0.011939
1861325,f(ementa),-0.141879,-0.092684,-0.003700,-0.196534,-0.047531,-0.074387
1861343,f(ementa),-0.243952,0.077580,-0.087189,-0.255584,-0.059414,0.077478
1861349,f(ementa),-0.241420,-0.034753,-0.121927,-0.218963,0.029641,0.119757
1861352,f(ementa),-0.204297,0.028193,-0.022183,-0.146146,-0.102423,0.009139
1861355,f(ementa),-0.174634,0.057521,0.009640,-0.253691,-0.003393,0.063938
1861358,f(ementa),-0.073267,0.020624,0.074816,-0.240761,-0.032438,0.034175
1861398,f(ementa),-0.188926,0.026142,-0.014108,-0.224693,0.045890,0.061042
1861405,f(ementa),-0.173903,0.124043,0.001996,-0.118362,-0.050647,0.066403
1861421,f(ementa),-0.267375,0.054155,-0.063042,-0.178872,-0.005314,0.053331
1861458,f(ementa),-0.116669,0.135239,-0.094255,-0.111063,0.025174,0.113570
1861477,f(ementa),-0.227369,0.039560,0.023318,-0.186762,0.007811,0.162875
1861506,f(ementa),-0.243922,0.046592,-0.106036,-0.299469,-0.025930,0.112534
1861534,f(ementa),-0.226758,0.021068,-0.045498,-0.137470,0.061035,0.161330
1861538,f(ementa),-0.198081,0.103782,0.040558,-0.244632,0.024289,0.138883
1861562,f(ementa),-0.230554,0.063361,-0.077403,-0.152842,-0.021693,0.063468
1861567,f(ementa),-0.238801,0.079265,-0.133194,-0.218320,-0.031611,0.127780
1861591,f(ementa),-0.146364,0.063731,0.043471,-0.235998,-0.020304,0.190418
1861594,f(ementa),-0.214246,0.074313,0.008608,-0.176152,0.058152,0.171283
1863415,f(ementa),-0.157827,0.048445,-0.053006,-0.159971,0.063216,0.049575
1863422,f(ementa),-0.202330,0.077243,-0.159249,-0.176330,-0.053343,0.089330
1863442,f(ementa),-0.149667,-0.008701,-0.061364,-0.161423,0.042448,0.083249
1863447,f(ementa),-0.183233,0.025804,-0.058119,-0.164356,0.016413,0.130930
1863483,f(ementa),-0.180221,0.004400,-0.065751,-0.252012,-0.010818,0.044977
1863502,f(ementa),-0.180921,0.031697,-0.059514,-0.197729,-0.014444,0.194040
1863507,f(ementa),-0.168501,0.019157,0.009168,-0.217402,-0.039491,0.001289
1863695,f(ementa),-0.165902,0.054621,-0.056936,-0.198104,0.060107,0.070749
1862908,f(ementa),-0.189430,0.011452,-0.114790,-0.259809,0.011570,0.110133
1862911,f(ementa),-0.239840,0.200925,0.212226,0.116058,0.040043,0.093231
1862932,f(ementa),-0.223803,0.075051,0.127698,-0.099007,0.012231,0.141556
1862331,f(ementa),-0.159239,0.152982,0.159797,-0.042283,0.067129,0.076115
1862374,f(ementa),-0.169306,0.292000,0.293244,0.089614,0.024473,0.114865
1862384,f(ementa),-0.241804,0.275462,0.175614,0.012314,-0.011716,0.134550
1862433,f(ementa),-0.175927,0.071938,-0.087597,-0.269729,-0.077948,0.061121
1862464,f(ementa),-0.211027,-0.086869,-0.093991,-0.126417,0.018478,0.101377
1862629,f(ementa),-0.151228,0.118746,0.199203,-0.057362,0.033715,0.163042
1862661,f(ementa),-0.083665,0.169799,0.269050,-0.042133,-0.009089,-0.095066
1861253,f(ementa),-0.253693,0.186995,0.102974,0.016433,0.079043,0.232858
1861274,f(ementa),-0.200446,0.060227,-0.078265,-0.191124,0.005890,0.068353
