cdacordao,tipo,x,y
1862683,f(mean HyDE),-23.524155,-11.137401
1862684,f(ementa),-13.589032,-8.630283
1862684,f(descricao),24.831192,2.817374
1862684,f(mean HyDE),-13.346362,-8.865229
1862689,f(ementa),-10.305133,-47.757935
1862689,f(descricao),46.208187,-19.123333
1862689,f(mean HyDE),-2.429941,-35.166584
1862692,f(ementa),-34.051453,1.585527
1862692,f(descricao),23.775415,-10.918719
1862692,f(mean HyDE),4.867467,-35.858696
1862693,f(ementa),-34.051453,1.585527
1862693,f(descricao),23.944172,-11.456433
1862693,f(mean HyDE),3.458711,-35.075394
1862694,f(ementa),-35.366024,1.341492
1862694,f(descricao),24.402042,-11.192207
1862694,f(mean HyDE),4.640284,-35.859146
1862695,f(ementa),-34.066223,2.331523
1862695,f(descricao),23.685003,-9.950241
1862695,f(mean HyDE),4.595988,-35.530830
1862697,f(ementa),-35.450947,1.555279
1862697,f(descricao),24.222771,-10.074100
1862697,f(mean HyDE),4.300158,-36.086399
1862698,f(ementa),-34.765144,1.009328
1862698,f(descricao),24.317654,-10.147287
1862698,f(mean HyDE),3.695344,-35.021553
1862700,f(ementa),-14.717214,-6.909311
1862700,f(descricao),21.836281,2.126129
1862700,f(mean HyDE),-12.968390,-6.025029
1862701,f(ementa),-12.085570,-17.683971
1862701,f(descricao),26.889482,0.956498
1862701,f(mean HyDE),-12.064059,-17.784161
1862703,f(ementa),-12.557096,-31.748379
1862703,f(descricao),46.440300,-20.769764
1862703,f(mean HyDE),-4.969208,-34.385338
1862711,f(ementa),-10.384795,-44.379753
1862711,f(descricao),44.994652,-17.955648
1862711,f(mean HyDE),-0.943598,-39.351013
1862712,f(ementa),-34.046524,2.327054
1862712,f(descricao),23.800066,-10.658935
1862712,f(mean HyDE),4.757074,-34.917816
1862713,f(ementa),-13.104527,-12.194623
1862713,f(descricao),24.380154,-0.289547
1862713,f(mean HyDE),-11.516212,-10.998627
1862717,f(ementa),-12.597962,-31.724695
1862717,f(descricao),46.490322,-20.723385
1862717,f(mean HyDE),-2.986365,-36.857033
1861238,f(ementa),0.437629,-8.043870
1861238,f(descricao),30.529387,-0.766698
1861238,f(mean HyDE),0.863096,-9.276258
1861243,f(ementa),-26.041992,4.800170
1861243,f(descricao),34.498333,9.847745
1861243,f(mean HyDE),-7.171204,-4.376179
1861248,f(ementa),-15.568770,-3.070068
1861248,f(descricao),21.055805,0.539065
1861248,f(mean HyDE),-9.250518,-9.678151
1861281,f(ementa),-8.135904,-0.269595
1861281,f(descricao),29.400431,8.084700
1861281,f(mean HyDE),-3.892084,3.247877
1861288,f(ementa),-5.657868,-12.857289
1861288,f(descricao),29.386782,-1.286222
1861288,f(mean HyDE),0.112723,-10.557076
1861306,f(ementa),-8.225493,0.577194
1861306,f(descricao),31.289436,6.069428
1861306,f(mean HyDE),-2.110798,2.693479
1861325,f(ementa),-6.112280,-7.782649
1861325,f(descricao),36.856392,-1.545527
1861325,f(mean HyDE),-5.745305,-7.687176
1861343,f(ementa),-16.890932,-8.929266
1861343,f(descricao),23.476437,1.867377
1861343,f(mean HyDE),-16.930353,-9.421709
1861349,f(ementa),-3.065833,-6.670932
1861349,f(descricao),29.183241,-8.046282
1861349,f(mean HyDE),-3.087914,-6.769541
1861352,f(ementa),-19.336895,-5.050312
1861352,f(descricao),25.003025,0.501558
1861352,f(mean HyDE),-2.564724,0.042582
1861355,f(ementa),-3.535559,-8.076294
1861355,f(descricao),26.060671,-6.055469
1861355,f(mean HyDE),-3.571387,-8.359822
1861358,f(ementa),-3.830912,-10.272094
1861358,f(descricao),28.542997,-4.616063
1861358,f(mean HyDE),-3.613457,-10.025531
1861398,f(ementa),-6.243345,0.270008
1861398,f(descricao),29.873560,7.886383
1861398,f(mean HyDE),-4.722438,4.290216
1861405,f(ementa),-22.535294,-12.454719
1861405,f(descricao),38.497746,4.254351
1861405,f(mean HyDE),-22.388775,-11.885383
1861421,f(ementa),-11.471771,-7.739681
1861421,f(descricao),29.319580,4.058716
1861421,f(mean HyDE),-11.342237,-7.906863
1861458,f(ementa),-21.710625,-14.382505
1861458,f(descricao),39.418636,2.594750
1861458,f(mean HyDE),-5.306583,-5.567247
1861477,f(ementa),-16.644722,-3.959238
1861477,f(descricao),21.796501,1.921840
1861477,f(mean HyDE),-12.212479,-4.469236
1861506,f(ementa),-13.010644,-11.895360
1861506,f(descricao),23.656111,-1.404090
1861506,f(mean HyDE),-11.634701,-11.837772
1861534,f(ementa),-15.285215,-2.302363
1861534,f(descricao),30.175238,-11.281212
1861534,f(mean HyDE),-16.806044,1.730325
1861538,f(ementa),-15.828749,-5.915070
1861538,f(descricao),25.503857,4.887322
1861538,f(mean HyDE),-12.604970,-3.781113
1861562,f(ementa),-21.201509,-12.107942
1861562,f(descricao),39.364037,2.687156
1861562,f(mean HyDE),-21.436090,-12.056820
1861567,f(ementa),-13.627322,-10.132510
1861567,f(descricao),25.034885,2.560916
1861567,f(mean HyDE),-13.016586,-7.461420
1861591,f(ementa),-16.820774,-5.225091
1861591,f(descricao),26.318954,4.566764
1861591,f(mean HyDE),-11.658890,-2.799746
1861594,f(ementa),-15.357506,-2.439001
1861594,f(descricao),30.184298,-11.262498
1861594,f(mean HyDE),-16.801769,1.718955
1863415,f(ementa),0.576172,-14.445191
1863415,f(descricao),33.307037,3.704751
1863415,f(mean HyDE),0.561106,-14.218138
1863422,f(ementa),0.185766,-8.104261
1863422,f(descricao),30.677576,-0.717695
1863422,f(mean HyDE),0.695003,-9.781019
1863442,f(ementa),3.269277,-12.536012
1863442,f(descricao),32.358555,-0.926274
1863442,f(mean HyDE),1.464093,-12.015158
1863447,f(ementa),3.545502,-12.983544
1863447,f(descricao),33.217995,-0.500708
1863447,f(mean HyDE),1.631847,-11.904850
1863483,f(ementa),-2.002170,-6.494730
1863483,f(descricao),28.933756,-8.497789
1863483,f(mean HyDE),-2.519888,-6.408304
1863502,f(ementa),-5.562225,-12.798334
1863502,f(descricao),29.425459,-1.515119
1863502,f(mean HyDE),0.082262,-10.928338
1863507,f(ementa),-6.108644,-5.129610
